category_large,대분류CID,category_medium,category_small
건강/취미,55890,대체의학,컬러링북
건강/취미,55890,대체의학,낚시
건강/취미,55890,대체의학,다이어트
건강/취미,55890,대체의학,대체의학
건강/취미,55890,대체의학,등산/캠핑
건강/취미,55890,대체의학,무예/무술
건강/취미,55890,대체의학,바둑/장기
건강/취미,55890,대체의학,반려동물
건강/취미,55890,대체의학,수영/수상스포츠
건강/취미,55890,대체의학,재난/생존/서바이벌
건강/취미,55890,대체의학,정신건강
건강/취미,55890,대체의학,퍼즐/스도쿠/퀴즈
건강/취미,55890,대체의학,한의학
건강/취미,55890,대체의학,헬스/피트니스
건강/취미,55890,등산/캠핑,걷기/육상스포츠
건강/취미,55890,등산/캠핑,골프
건강/취미,55890,등산/캠핑,글씨 쓰기
건강/취미,55890,등산/캠핑,스티커북
건강/취미,55890,등산/캠핑,컬러링북
건강/취미,55890,등산/캠핑,낚시
건강/취미,55890,등산/캠핑,다이어트
건강/취미,55890,등산/캠핑,대체의학
건강/취미,55890,등산/캠핑,등산/캠핑
건강/취미,55890,등산/캠핑,무예/무술
건강/취미,55890,등산/캠핑,바둑/장기
건강/취미,55890,등산/캠핑,반려동물
건강/취미,55890,등산/캠핑,수영/수상스포츠
건강/취미,55890,등산/캠핑,재난/생존/서바이벌
건강/취미,55890,등산/캠핑,정신건강
건강/취미,55890,등산/캠핑,퍼즐/스도쿠/퀴즈
건강/취미,55890,등산/캠핑,한의학
건강/취미,55890,등산/캠핑,헬스/피트니스
건강/취미,55890,무예/무술,걷기/육상스포츠
건강/취미,55890,무예/무술,골프
건강/취미,55890,무예/무술,글씨 쓰기
건강/취미,55890,무예/무술,스티커북
건강/취미,55890,무예/무술,컬러링북
건강/취미,55890,무예/무술,낚시
건강/취미,55890,무예/무술,다이어트
건강/취미,55890,무예/무술,대체의학
건강/취미,55890,무예/무술,등산/캠핑
건강/취미,55890,무예/무술,무예/무술
건강/취미,55890,무예/무술,바둑/장기
건강/취미,55890,무예/무술,반려동물
건강/취미,55890,무예/무술,수영/수상스포츠
건강/취미,55890,무예/무술,재난/생존/서바이벌
건강/취미,55890,무예/무술,정신건강
건강/취미,55890,무예/무술,퍼즐/스도쿠/퀴즈
건강/취미,55890,무예/무술,한의학
건강/취미,55890,무예/무술,헬스/피트니스
건강/취미,55890,바둑/장기,걷기/육상스포츠
건강/취미,55890,바둑/장기,골프
건강/취미,55890,바둑/장기,글씨 쓰기
건강/취미,55890,바둑/장기,스티커북
건강/취미,55890,바둑/장기,컬러링북
건강/취미,55890,바둑/장기,낚시
건강/취미,55890,바둑/장기,다이어트
건강/취미,55890,바둑/장기,대체의학
건강/취미,55890,바둑/장기,등산/캠핑
건강/취미,55890,바둑/장기,무예/무술
건강/취미,55890,바둑/장기,바둑/장기
건강/취미,55890,바둑/장기,반려동물
건강/취미,55890,바둑/장기,수영/수상스포츠
건강/취미,55890,바둑/장기,재난/생존/서바이벌
건강/취미,55890,바둑/장기,정신건강
건강/취미,55890,바둑/장기,퍼즐/스도쿠/퀴즈
건강/취미,55890,바둑/장기,한의학
건강/취미,55890,바둑/장기,헬스/피트니스
건강/취미,55890,반려동물,걷기/육상스포츠
건강/취미,55890,반려동물,골프
건강/취미,55890,반려동물,글씨 쓰기
건강/취미,55890,반려동물,스티커북
건강/취미,55890,반려동물,컬러링북
건강/취미,55890,반려동물,낚시
건강/취미,55890,반려동물,다이어트
건강/취미,55890,반려동물,대체의학
건강/취미,55890,반려동물,등산/캠핑
건강/취미,55890,반려동물,무예/무술
건강/취미,55890,반려동물,바둑/장기
건강/취미,55890,반려동물,반려동물
건강/취미,55890,반려동물,수영/수상스포츠
건강/취미,55890,반려동물,재난/생존/서바이벌
건강/취미,55890,반려동물,정신건강
건강/취미,55890,반려동물,퍼즐/스도쿠/퀴즈
건강/취미,55890,반려동물,한의학
건강/취미,55890,반려동물,헬스/피트니스
건강/취미,55890,수영/수상스포츠,걷기/육상스포츠
건강/취미,55890,수영/수상스포츠,골프
건강/취미,55890,수영/수상스포츠,글씨 쓰기
건강/취미,55890,수영/수상스포츠,스티커북
건강/취미,55890,수영/수상스포츠,컬러링북
건강/취미,55890,수영/수상스포츠,낚시
건강/취미,55890,수영/수상스포츠,다이어트
건강/취미,55890,수영/수상스포츠,대체의학
건강/취미,55890,수영/수상스포츠,등산/캠핑
건강/취미,55890,수영/수상스포츠,무예/무술
건강/취미,55890,수영/수상스포츠,바둑/장기
건강/취미,55890,수영/수상스포츠,반려동물
건강/취미,55890,수영/수상스포츠,수영/수상스포츠
건강/취미,55890,수영/수상스포츠,재난/생존/서바이벌
건강/취미,55890,수영/수상스포츠,정신건강
건강/취미,55890,수영/수상스포츠,퍼즐/스도쿠/퀴즈
건강/취미,55890,수영/수상스포츠,한의학
건강/취미,55890,수영/수상스포츠,헬스/피트니스
건강/취미,55890,스포츠/레저 기타,걷기/육상스포츠
건강/취미,55890,스포츠/레저 기타,골프
건강/취미,55890,스포츠/레저 기타,글씨 쓰기
건강/취미,55890,스포츠/레저 기타,스티커북
건강/취미,55890,스포츠/레저 기타,컬러링북
건강/취미,55890,스포츠/레저 기타,낚시
건강/취미,55890,스포츠/레저 기타,다이어트
건강/취미,55890,스포츠/레저 기타,대체의학
건강/취미,55890,스포츠/레저 기타,등산/캠핑
건강/취미,55890,스포츠/레저 기타,무예/무술
건강/취미,55890,스포츠/레저 기타,바둑/장기
건강/취미,55890,스포츠/레저 기타,반려동물
건강/취미,55890,스포츠/레저 기타,수영/수상스포츠
건강/취미,55890,스포츠/레저 기타,기타
건강/취미,55890,스포츠/레저 기타,댄스/무용
건강/취미,55890,스포츠/레저 기타,스키/스노보드
건강/취미,55890,스포츠/레저 기타,스포츠 교육/코칭
건강/취미,55890,스포츠/레저 기타,인라인/자전거
건강/취미,55890,스포츠/레저 기타,재난/생존/서바이벌
건강/취미,55890,스포츠/레저 기타,정신건강
건강/취미,55890,스포츠/레저 기타,퍼즐/스도쿠/퀴즈
건강/취미,55890,스포츠/레저 기타,한의학
